Abm,-43.16801896730614,-19.845268681438142
Aclimação,-43.190849314412276,-19.813412685397644
Alvorada,-43.17993257357336,-19.808895260471115
Areia Preta,-43.135184036837664,-19.82137895715347
Bau,-43.14674739061125,-19.818163615058758
Beira rio,-43.12905311658148,-19.837537121743534
Belmonte,-43.159047026290885,-19.814752813228687
Boa Vista,-43.20447085809941,-19.820775144001292
Campos Elíseos,-43.18800171031672,-19.834117995378385
Cachoeirinha,-43.21237747724703,-19.810553846562488
Carneirinhos,-43.17181118879539,-19.808928561591685
Centro Industrial,-43.12927193942707,-19.839099270176465
Cidade Nova,-43.19507952027325,-19.82083373645096
Corumbiaria de Vanessa,-43.17735354615947,-19.852202085765953
Cruzeiro Celeste,-43.17489354143922,-19.836522636746157
Estacian burian,-43.2042753655629,-19.849397149298348
Estrela Dalva,-43.1771362636312,-19.850244669906527
Enerstina graciana,-43.17632917699106,-19.834839796812343
Industrial,-43.1997562881005,-19.81444503177072
Jacuí,-43.123272289801115,-19.854534563411537
Jk,-43.18444315798981,-19.806172269292635
Jardim Vitória,-43.192883515992314,-19.84849464666656
José de Alencar,-43.16624635342094,-19.81649887195312
José Eloi,-43.166914236108035,-19.80106310957878
Loanda,-43.162788452649266,-19.821741762488422
Laranjeiras,-43.156558179356715,-19.8297109782124
Lourdes,-43.17637157832097,-19.814213354321126
Lucilia,-43.169887360004125,-19.81028455641305
Metalúrgico,-43.15467226077187,-19.817018190855954
Nova Aclimação,-43.19155280182404,-19.81968118738603
Nova Monlevade,-43.18675517278853,-19.856242207364506
Nova esperança,-43.17998017800099,-19.823495257196257
Novo Cruzeiro,-43.18632093235281,-19.84979270257406
Novo horizonte,-43.18465748499648,-19.809396939551913
Palmares,-43.169611310051195,-19.837634346943513
Paineiras,-43.18986418170686,-19.828153267196264
Pedreira,-43.12264271045084,-19.822930147118157
Petrópolis,-43.18328211712823,-19.842564072307823
Planalto,-43.18513167603134,-19.857897612169506
Promorar,-43.180145853470734,-19.83147689909884
Recanto do paraíso,-43.194310865242464,-19.8080638320234
Republica,-43.18119073911685,-19.812933991989137
Rosário,-43.17926489467346,-19.802286468644347
Santa Barbara,-43.18625456048021,-19.809592306151753
Santa Cecília,-43.17590453428117,-19.84733816821059
Santa Cruz,-43.10590061021843,-19.82644124723838
Santo Hipólito,-43.19302265508959,-19.846710946924922
São Benedito,-43.16310860330184,-19.808363168738023
São Geraldo,-43.16680752151894,-19.8133718590037
São João,-43.164952830327316,-19.80606838740213
São Jorge,-43.16612940545499,-19.809234558273925
São José,-43.17989590350108,-19.83436588436222
Satélite,-43.16455848450618,-19.812565467526937
Serra,-43.183322236885694,-19.83378034193054
Sion,-43.19281374369711,-19.832756576516868
Tanquinho,-43.204403360128865,-19.85167325025271
Tanquinho 2,-43.216805218534546,-19.85011202054881
Teresópolis,-43.18809639101031,-19.838053009748045
Vale da Serra,-43.19578746414043,-19.805249332848426
Vale do sol,-43.17783059232935,-19.798318234064098
Vera Cruz,-43.16708873923348,-19.83371881240647
Vila tanque,-43.143693713798115,-19.82862492270674
